,City,Country,Max Temp,Latitude,Longitude,Humidity,Cloudiness,Wind Speed
0,Eirunepe,BR,80.12,-6.66,-69.87,87,36,2.35
1,Saint-Philippe,CA,8.01,45.36,-73.48,50,1,13.87
2,Abha,SA,62.6,18.22,42.5,82,0,4.7
3,Gat,SN,71.6,14.69,-16.54,43,12,11.41
4,Camocim,BR,77.51,-2.9,-40.84,93,92,4.76
5,Atuona,PF,80.84,-9.8,-139.03,100,12,7
6,Belmonte,PT,44.43,40.36,-7.35,71,0,6.89
7,Cherskiy,RU,-5.52,68.75,161.3,81,80,2.35
8,Chuy,UY,60.5,-33.69,-53.46,80,0,10.85
9,Bonavista,CA,25.4,48.65,-53.11,94,88,31.43
10,Salalah,OM,75.2,17.01,54.1,69,0,3.36
11,Albany,US,19.99,42.65,-73.75,44,40,20.8
12,Butaritari,KI,81.69,3.07,172.79,100,88,16.62
13,Hermanus,ZA,59,-34.42,19.24,74,56,2.98
14,Bluff,AU,82.1,-23.58,149.07,42,0,11.25
15,New Norfolk,AU,63,-42.78,147.06,50,20,8.05
16,Rabat,MA,55.99,34.02,-6.83,82,75,4.7
17,Kochki,RU,26.12,54.33,80.49,92,92,8.72
18,Maragogi,BR,79.44,-9.01,-35.22,91,92,7.49
19,Tasiilaq,GL,30.2,65.61,-37.64,92,92,3.36
20,Lavrentiya,RU,29,65.58,-170.99,86,0,19.69
21,Katsuura,JP,46,33.93,134.5,75,75,5.82
22,Punta Arenas,CL,51.8,-53.16,-70.91,53,0,17.22
23,Lebu,ET,39.71,8.96,38.73,55,0,2.98
24,Pisco,PE,71.6,-13.71,-76.2,30,75,20.8
25,Avarua,CK,84.2,-21.21,-159.78,66,0,16.11
26,Kuytun,RU,6.05,54.34,101.51,69,32,2.3
27,Saint-Georges,CA,1,46.12,-70.67,68,36,11.01
28,Cape Town,ZA,61,-33.93,18.42,82,0,2.24
29,Castro,CL,57.53,-42.48,-73.76,74,0,7.83
30,Bredasdorp,ZA,55.4,-34.53,20.04,76,68,4.7
31,Kodiak,US,34,39.95,-94.76,62,90,10.29
32,Solnechnyy,RU,22.34,50.72,136.64,66,24,7.23
33,Limbang,BN,78.8,4.75,115.01,88,75,8.05
34,Rikitea,PF,80.48,-23.12,-134.97,99,88,10.36
35,Kapaa,US,78.8,22.08,-159.32,53,1,19.46
36,Lorengau,PG,80.34,-2.02,147.27,100,64,6.38
37,Altamont,CA,5,49.4,-98.5,71,76,7.49
38,Rocha,UY,54.51,-34.48,-54.34,64,0,6.26
39,Eureka,US,46.4,40.8,-124.16,93,90,4.76
40,Sao Filipe,CV,73.46,14.9,-24.5,85,0,14.83
41,Punta Cardon,VE,78.23,11.61,-70.22,72,0,22.15
42,Busselton,AU,71.01,-33.64,115.35,51,36,16.96
43,Kitimat,CA,32,54.02,-128.69,46,20,13.87
44,Vila Franca do Campo,PT,57.2,37.72,-25.43,62,40,18.34
45,Khatanga,RU,-0.8,71.98,102.47,65,88,5.59
46,Touros,BR,80.6,-5.2,-35.46,88,20,4.7
47,Itaueira,BR,72.38,-7.6,-43.03,91,12,3.87
48,Souillac,FR,51.8,45.6,-0.6,70,0,1.12
49,Mahebourg,MU,82.4,-20.41,57.7,83,75,16.11
50,Dikson,RU,-5.79,73.51,80.55,82,36,28.41
51,Bolobo,CD,71.84,-2.17,16.23,100,76,2.3
52,Bulaevo,KZ,6.86,54.91,70.44,84,88,7.27
53,Provideniya,RU,32,64.42,-173.23,91,40,20.13
54,Mayo,CA,8.6,63.59,-135.9,60,20,3.36
55,Almaznyy,RU,32,48.03,40.04,93,40,4.47
56,Bilibino,RU,-5.57,68.06,166.44,77,36,3.24
57,Paris,FR,51.01,48.86,2.35,75,0,4.7
58,Kaitangata,NZ,57.26,-46.28,169.85,71,20,20.54
59,Okha,RU,11.09,53.59,142.95,83,36,15.32
60,Ushuaia,AR,44.6,-54.81,-68.31,70,40,31.09
61,Cabo San Lucas,MX,75,22.89,-109.91,56,5,6.93
62,Luderitz,NA,64.86,-26.65,15.16,74,0,18.07
63,Airai,TL,75.89,-8.93,125.41,82,0,1.86
64,Port Alfred,ZA,64.99,-33.59,26.89,71,12,5.99
65,Lagoa,PT,60.01,37.14,-8.45,77,0,10.29
66,Dingle,PH,74.94,11,122.67,70,0,12.53
67,Chokurdakh,RU,-23.34,70.62,147.9,34,64,7.72
68,Lamont,CA,18,53.76,-112.78,56,75,9.17
69,Barrow,AR,51.18,-38.31,-60.23,73,8,2.86
70,Oranjemund,ZA,64.23,-28.55,16.43,95,48,18.63
71,Furano,JP,19.4,43.28,142.47,85,40,11.41
72,Bonthe,SL,79.13,7.53,-12.5,85,0,5.32
73,Thompson,CA,8.6,55.74,-97.86,65,75,11.41
74,Nanortalik,GL,29.04,60.14,-45.24,100,0,15.77
75,Yellowknife,CA,19.4,62.45,-114.38,73,90,6.93
76,Shebunino,RU,26.6,57.66,40.04,79,90,11.18
77,Vitim,RU,16.58,59.44,112.57,72,68,5.88
78,Puerto Ayora,EC,86,-0.74,-90.35,66,20,11.41
79,Norman Wells,CA,24.8,65.28,-126.83,68,40,19.46
80,Vaini,IN,54.56,15.34,74.49,75,0,1.3
81,Bukama,CD,68.73,-9.2,25.85,98,88,2.46
82,Faya,SA,62.6,18.39,42.45,82,0,4.7
83,Ambon,FR,48.99,47.55,-2.56,87,0,6.93
84,Havre-Saint-Pierre,CA,26.6,50.23,-63.6,73,90,11.41
85,Caconda,AO,60.41,-13.73,15.06,95,68,2.68
86,Aljezur,PT,60.01,37.31,-8.8,77,24,11.41
87,Cedar City,US,48.2,37.68,-113.06,39,1,12.75
88,Qaanaaq,GL,-13.62,77.48,-69.36,81,20,6.22
89,Comodoro Rivadavia,AR,62.6,-45.87,-67.48,51,20,9.17
90,Dicabisagan,PH,72.06,17.08,122.42,100,56,5.1
91,Arraial do Cabo,BR,80.16,-22.97,-42.02,94,24,0.56
92,Manokwari,ID,79.44,-0.87,134.08,100,68,4.76
93,Laguna,MX,80.6,27.52,-110.01,21,40,9.17
94,Grand Gaube,MU,82.4,-20.01,57.66,83,75,16.11
95,Bandarbeyla,SO,76.97,9.49,50.81,100,20,12.3
96,Cosamaloapan,MX,89.01,18.36,-95.8,55,0,1.99
97,Pevek,RU,-5.03,69.7,170.27,79,20,0.96
98,Sitka,US,34.71,37.17,-99.65,64,8,6.38
99,Umm Lajj,SA,68.64,25.02,37.27,100,92,9.4
100,Pacific Grove,US,62.6,36.62,-121.92,51,90,5.82
101,Sao Jose da Coroa Grande,BR,79.44,-8.9,-35.15,91,92,7.49
102,Griffith,AU,87.8,-34.29,146.06,22,0,12.75
103,Salekhard,RU,-10.29,66.54,66.62,52,0,11.41
104,Carnarvon,ZA,55.82,-30.97,22.13,53,0,7.72
105,Kuito,AO,59.78,-12.38,16.94,90,56,2.19
106,Hobart,AU,63,-42.88,147.33,50,20,8.05
107,Alice,US,77,27.75,-98.07,100,75,6.93
108,Qasigiannguit,GL,-0.41,68.82,-51.19,84,20,4.7
109,Lingao,CN,68.15,19.91,109.69,96,0,7.05
110,Srednekolymsk,RU,-16.64,67.46,153.71,71,76,4.54
111,Mataura,NZ,55,-46.19,168.86,80,48,8.01
112,Biak,ID,79.22,-0.91,122.88,97,88,3.8
113,Saint-Francois,FR,35.6,46.42,3.91,93,0,2.57
114,Banda Aceh,ID,74.09,5.56,95.32,97,24,2.86
115,Beringovskiy,RU,30.21,63.05,179.32,89,80,27.07
116,Remedios,CU,78.8,22.5,-79.55,61,20,14.99
117,Aklavik,CA,21.2,68.22,-135.01,73,75,3.36
118,Thinadhoo,MV,81.11,0.53,72.93,100,48,11.07
119,Hofn,IS,42.32,64.25,-15.21,92,88,24.34
120,Kashan,IR,44.6,33.99,51.44,36,0,4.47
121,Kayes,ML,67.61,14.44,-11.44,26,0,11.41
122,Shubarshi,KZ,21.08,48.59,57.19,89,92,8.23
123,Coihaique,CL,62.6,-45.58,-72.07,51,0,4.7
124,Ribeira Grande,PT,60.68,38.52,-28.7,98,92,29.97
125,Sept-Iles,CA,5,50.2,-66.38,60,90,18.34
126,Saskylakh,RU,-28.29,71.97,114.09,43,0,6.33
127,Honningsvag,NO,29.9,70.98,25.97,100,92,7.05
128,Dali,CN,38.99,25.6,100.24,100,0,3.53
129,Pudem,RU,20.18,58.3,52.17,88,92,5.1
130,Port Lincoln,AU,73.28,-34.72,135.86,83,0,6.49
131,Leningradskiy,RU,14.28,69.38,178.42,83,0,20.92
132,Pelotas,BR,66.03,-31.77,-52.34,90,0,11.63
133,Bethel,US,37.4,60.79,-161.76,96,75,10.29
134,Jamestown,AU,77.01,-33.21,138.6,70,0,7.23
135,Arkalgud,IN,60.81,12.76,76.06,91,8,2.98
136,Vila Velha,BR,82.4,-3.71,-38.6,78,0,4.7
137,Dunedin,NZ,55,-45.87,170.5,70,8,7
138,East London,ZA,70.13,-33.02,27.91,100,88,23.82
139,Tuktoyaktuk,CA,5,69.44,-133.03,84,75,5.82
140,Deputatskiy,RU,-42.51,69.3,139.9,0,0,2.01
141,Port Moresby,PG,86,-9.47,147.16,70,20,2.24
142,Springbok,ZA,54.33,-29.67,17.88,86,0,3.24
143,Samarai,PG,82.23,-10.62,150.67,100,0,6.49
144,Maldonado,UY,60.8,-34.91,-54.96,48,20,11.41
145,Gobabis,NA,75.39,-22.45,18.97,25,48,8.01
146,Pandan Niog,PH,80.21,6.23,120.56,100,0,13.31
147,Pimentel,BR,75.48,-3.7,-45.5,93,88,3.24
148,Iqaluit,CA,-2.01,63.75,-68.52,84,75,4.7
149,Huarmey,PE,73.28,-10.07,-78.15,71,12,3.8
150,Kirakira,SB,83.13,-10.46,161.92,98,0,14.65
151,Corrente,BR,71.39,-17.45,-44.68,89,68,2.57
152,Rome,IT,51.01,41.89,12.48,66,0,8.05
153,Tuatapere,NZ,55,-46.13,167.69,80,92,8.01
154,Saint George,GR,44.6,39.45,22.34,65,75,4.7
155,Sambava,MG,79.26,-14.27,50.17,100,92,15.17
156,Omalur,IN,67.56,11.74,78.05,91,24,4.88
157,Bojnice,SK,44.6,48.78,18.58,60,20,4.7
158,Buala,SB,85.61,-8.15,159.59,78,44,8.84
159,Hilo,US,75.2,19.71,-155.08,60,40,10.29
160,Ponta do Sol,BR,70.94,-20.63,-46,91,48,2.53
161,Viedma,AR,63.02,-40.81,-62.99,57,80,12.82
162,Iwanai,JP,32.73,42.97,140.51,100,0,14.61
163,Dunhua,CN,16.58,43.37,128.23,57,0,3.2
164,Hithadhoo,MV,81.83,-0.6,73.08,100,36,12.26
165,Necochea,AR,59,-38.55,-58.74,65,20,1.01
166,Port Elizabeth,US,41,39.31,-74.98,38,90,5.82
167,Bukachacha,RU,11.81,52.99,116.91,68,24,4.7
168,Nuuk,GL,26.6,64.17,-51.74,63,20,16.11
169,Champerico,MX,86,16.38,-93.6,45,5,24.16
170,Cidreira,BR,66.98,-30.17,-50.22,91,80,1.45
171,Linqiong,CN,48.2,30.42,103.46,81,40,4.47
172,Poptun,GT,78.14,16.33,-89.42,50,0,5.03
173,Georgetown,GY,78.8,6.8,-58.16,78,20,9.17
174,Kosh-Agach,RU,-16.14,49.99,88.66,54,12,2.57
175,Itarema,BR,77.69,-2.92,-39.92,94,48,5.7
176,Yar-Sale,RU,-12.99,66.83,70.83,60,0,9.8
177,Lata,IN,28.19,30.78,78.62,100,92,1.86
178,San Angelo,US,75,31.46,-100.44,46,1,9.17
179,Khasan,RU,30.48,42.43,130.64,96,0,4.25
180,Narsaq,GL,24.8,60.91,-46.05,58,0,1.12
181,Muros,ES,59,42.77,-9.06,66,0,3.36
182,Tiksi,RU,-16.28,71.64,128.87,46,0,3.76
183,Floriano,BR,74.04,-6.77,-43.02,93,20,3.2
184,Saldanha,PT,37.46,41.42,-6.55,78,0,4.59
185,Adrar,DZ,50,27.87,-0.29,29,0,8.05
186,Ouallam,NE,63.02,14.32,2.08,18,0,10.02
187,Takab,IR,31.25,36.4,47.11,90,92,4.09
188,Sao Joao da Barra,BR,80.6,-21.64,-41.05,83,0,2.24
189,Nikolskoye,RU,24.01,59.7,30.79,92,40,2.24
190,Sechura,PE,79.49,-5.56,-80.82,76,8,9.84
191,Kruisfontein,ZA,60.86,-34,24.73,79,0,16.11
192,Bom Jesus,BR,76.7,-9.08,-44.36,84,12,6.55
193,Kabo,CF,70.13,7.69,18.62,98,80,10.29
194,Denpasar,ID,80.6,-8.65,115.22,94,40,4.7
195,Mehamn,NO,28.41,71.03,27.85,95,80,3.36
196,Caravelas,BR,83.99,-17.73,-39.27,100,8,18.34
197,Batagay-Alyta,RU,-15.74,67.8,130.41,62,68,3.02
198,Omboue,GA,80.03,-1.57,9.26,100,56,13.15
199,Mangan,IN,18.06,27.5,88.54,78,80,0.74
200,Karasjok,NO,26.6,69.47,25.52,92,92,10.29
201,Bani,PH,73.68,15.89,120.27,90,0,3.2
202,Vredendal,ZA,53.75,-31.68,18.49,88,0,3.8
203,San Patricio,PY,70.44,-26.98,-56.83,70,0,6.71
204,Lumeje,AO,66.35,-11.56,20.78,95,64,2.86
205,Juneau,US,39.2,58.3,-134.42,55,20,8.05
206,Komsomolskiy,RU,-3.41,67.55,63.78,73,68,17.9
207,Isangel,VU,77.73,-19.55,169.27,100,76,15.1
208,Mugumu,TZ,55.64,-1.84,34.67,82,8,6.38
209,Aksarayskiy,RU,35.6,46.79,48.01,89,90,8.95
210,Tabuk,PH,63.56,17.41,121.44,83,0,2.01
211,Namatanai,PG,83,-3.66,152.44,98,80,7.27
212,Rantauprapat,ID,68.78,2.1,99.83,90,20,2.3
213,Port Hardy,CA,41,50.7,-127.42,25,5,18.34
214,Manjacaze,MZ,79.44,-24.71,33.88,70,0,9.84
215,Alpena,US,14,45.06,-83.43,56,75,6.93
216,Dakar,SN,71.6,14.69,-17.45,72,20,13.87
217,San Cristobal,EC,62.6,-0.39,-78.55,72,75,10.29
218,Nome,US,64.4,30.04,-94.42,77,90,8.05
219,Lasa,CY,60.8,34.92,32.53,77,40,18.34
220,Mabaruma,GY,78.86,8.2,-59.78,79,56,8.84
221,Beyneu,KZ,29.99,45.32,55.19,94,92,4.7
222,Mar del Plata,AR,67.43,-46.43,-67.52,37,0,18.57
223,Freeport,BS,75.2,26.54,-78.7,78,75,11.41
224,Axim,GH,82.86,4.87,-2.24,98,68,9.84
225,Kungurtug,RU,-8.54,50.6,97.53,51,32,2.98
226,Mikumi,TZ,67.97,-7.4,36.98,99,48,2.53
227,Kapasan,IN,49.16,24.95,74.23,89,68,1.52
228,Camabatela,AO,65.72,-8.19,15.37,90,36,3.09
229,Hailar,CN,13.38,49.2,119.7,64,0,10.8
230,Ngunguru,NZ,73,-35.62,174.5,53,0,5.99
231,Grindavik,IS,41,63.84,-22.43,86,75,17.22
232,Agirish,RU,7.31,61.92,63.02,67,88,8.39
233,Ostrovnoy,RU,18.24,68.05,39.51,86,36,23.38
234,Wenling,CN,48.99,28.38,121.38,96,92,5.03
235,Torbay,CA,24.01,47.66,-52.73,85,90,33.33
236,Lompoc,US,61,34.64,-120.46,62,1,5.82
237,San Jeronimo,PE,47.49,-13.65,-73.37,91,76,1.79
238,Beaumont,US,64.4,30.09,-94.1,77,90,8.05
239,Marienburg,DE,44.01,52.12,9.98,69,0,1.12
240,Fort Nelson,CA,28.4,58.81,-122.69,54,40,2.19
241,Paoua,CF,71.79,7.24,16.43,73,32,9.35
242,Morondava,MG,78.41,-20.3,44.28,100,8,3.09
243,Mhlume,SZ,73.23,-26.03,31.81,59,0,11.81
244,Kindersley,CA,-0.01,51.47,-109.16,70,20,16.11
245,Ahipara,NZ,72.06,-35.17,173.16,65,0,8.23
246,Fare,PF,84.84,-16.7,-151.02,98,8,6.49
247,Derzhavinsk,KZ,12.53,51.1,66.31,82,92,3.58
248,Portland,US,37.4,45.52,-122.67,34,75,31.09
249,Gold Coast,AU,82.99,-28,153.41,57,40,9.17
250,Karaton,ID,80.6,-6.34,106.1,88,20,2.24
251,Charters Towers,AU,77.69,-20.07,146.27,77,12,9.4
252,Benghazi,LY,58.29,32.12,20.07,100,44,21.81
253,Ozernovskiy,RU,20,51.5,156.52,88,68,12.75
254,Saint Anthony,US,39.2,43.97,-111.68,95,20,13.87
255,Kaduqli,SD,69.36,11.01,29.72,63,0,2.68
256,Bayir,TR,48,37.27,28.22,70,0,5.82
257,Jalu,LY,48.93,29.03,21.55,73,0,10.58
258,Codrington,AU,78.8,-28.95,153.24,64,80,3.58
259,Phan Thiet,VN,76.29,10.93,108.1,93,24,15.28
260,Valle Hermoso,MX,82.4,25.67,-97.82,65,75,12.75
261,Sabya,YE,68.01,16.19,43.1,79,0,3.09
262,Deloraine,CA,-1,49.18,-100.5,84,48,1.99
263,Los Llanos de Aridane,ES,62.6,28.66,-17.92,77,24,2.24
264,Vazante,BR,72.78,-17.99,-46.9,86,48,4.81
265,Acajutla,SV,81,13.59,-89.83,62,0,1.99
266,Kolokani,ML,61.94,13.58,-8.03,23,0,10.63
267,Marystown,CA,21.99,47.17,-55.16,100,64,34.67
268,Bandar,ID,73.37,-4.2,104.14,96,64,6.22
269,Aswan,EG,63.11,24.09,32.9,34,80,8.28
270,Buin,CL,80.6,-33.73,-70.74,24,0,8.05
271,Collingwood,CA,12.2,44.5,-80.22,78,40,3.36
272,Altay,CN,-5.3,47.83,88.13,55,0,3.98
273,Taywarah,AF,13.61,33.35,64.42,85,64,2.86
274,Ayan,TR,19.28,40.67,33.6,76,48,2.3
275,Berlevag,NO,28.73,70.86,29.09,100,92,3.53
276,North Battleford,CA,-0.01,52.78,-108.3,59,1,12.75
277,Clyde River,CA,-23.81,70.47,-68.59,74,40,5.82
278,Popondetta,PG,77.87,-8.77,148.24,78,20,2.35
279,Geraldton,CA,3.2,49.72,-86.95,49,75,5.82
280,Araouane,ML,53.48,18.9,-3.53,33,0,10.92
281,Nador,MA,53.6,35.17,-2.93,81,0,2.24
282,Paramonga,PE,72.78,-10.68,-77.82,98,0,10.51
283,Padang,ID,77,-0.92,100.36,100,92,10.29
284,Sidi Ali,DZ,38.9,36.1,0.42,88,0,2.57
285,Victoria,BN,78.8,5.28,115.24,78,75,11.41
286,Hay River,CA,23,60.82,-115.79,67,75,8.05
287,Kavaratti,IN,81.56,10.57,72.64,100,0,10.25
288,Adiake,CI,82.4,5.29,-3.3,88,20,9.17
289,Athabasca,CA,11.99,54.72,-113.29,81,32,8.57
290,Half Moon Bay,US,57.2,37.46,-122.43,71,90,16.11
291,Buckeye,US,72,33.37,-112.58,19,75,3.2
292,Bela,PK,47.31,26.23,66.31,42,0,5.03
293,Hamilton,BM,62.6,32.3,-64.78,59,75,12.75
294,Guerrero Negro,MX,67.16,27.97,-114.04,51,8,9.4
295,El Salto,MX,86,20.52,-103.18,10,20,10.29
296,Belyy Yar,RU,17.6,53.6,91.39,85,32,2.24
297,Praya,ID,80.6,-8.71,116.27,88,40,2.24
298,Longyearbyen,NO,10.4,78.22,15.63,72,75,2.24
299,Lodja,CD,71.43,-3.52,23.6,96,32,3.09
300,Northam,GB,48.99,51.04,-4.21,95,0,3.36
301,Kushiro,JP,23,43.11,144.15,73,20,5.82
302,Myshkin,RU,21.35,57.78,38.45,85,68,13.53
303,Jinchang,CN,3.98,38.52,102.19,49,64,2.53
304,Nichinan,JP,50,31.65,131.31,76,75,8.05
305,Soyo,AO,78.68,-6.13,12.37,92,76,3.31
306,Katima Mulilo,NA,70.85,-17.5,24.28,71,12,5.32
307,Ancud,CL,59.06,-41.87,-73.83,68,0,6.89
308,Kindu,CD,74.18,-2.95,25.92,88,20,3.02
309,Basco,US,39.2,40.33,-91.2,64,1,9.17
310,Manaus,BR,80.6,-3.13,-59.98,88,75,5.82
311,Seoul,KR,39.2,37.57,126.98,59,40,1.12
312,Muisne,EC,82.4,0.61,-80.02,88,40,3.36
313,San Jose,PH,69.68,15.79,120.99,88,8,2.68
314,Upernavik,GL,0.56,72.79,-56.15,100,44,16.33
315,Yulara,AU,86,-25.24,130.99,20,0,10.29
316,Marawi,PH,68.19,8,124.29,80,0,2.68
317,Coquimbo,CL,62.6,-29.95,-71.34,82,40,8.05
318,La Celia,CO,77,5,-76,100,75,11.41
319,Shimanovsk,RU,12.53,52,127.67,70,76,2.46
320,Otradnoye,RU,24.01,59.77,30.8,92,40,2.24
321,Umea,SE,37.4,63.83,20.26,86,0,11.41
322,Kavieng,PG,80.88,-2.57,150.8,100,88,11.63
323,Baft,IR,12.98,29.23,56.61,40,0,1.68
324,Vila,IT,51.01,45.18,8.4,85,0,5.82
325,Cabatuan,PH,69.77,16.95,121.67,81,0,0.74
326,Xining,CN,11.27,36.62,101.77,92,80,2.98
327,Villablino,ES,50,42.94,-6.32,69,0,3.36
328,Keetmanshoop,NA,73.4,-26.57,18.15,43,0,10.29
329,Mount Pleasant,US,59,33.16,-94.97,93,90,5.82
330,Opuwo,NA,66.21,-18.06,13.84,69,0,3.69
331,Esperance,TT,79,10.24,-61.45,78,20,9.17
332,Mapiri,BO,54.51,-15.31,-68.22,97,100,1.79
333,Hasaki,JP,45,35.73,140.83,45,75,9.17
334,Vestmanna,FO,46.4,62.16,-7.17,81,8,11.41
335,Smithers,CA,23,54.78,-127.17,45,20,2.24
336,Kahului,US,73.99,20.89,-156.47,73,90,16.11
337,Ketchikan,US,44.6,55.34,-131.65,52,1,18.34
